tesisat_no_id,il,ilce,load_profile_date,outlier_kolon,outlier_deger,p99_esik,p01_esik
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-01 08:00:00,l1,33.77,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-08 14:30:00,l1,29.38,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-09 16:30:00,l1,30.26,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-14 15:45:00,l1,28.49,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-18 10:15:00,l1,29.77,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-19 08:30:00,l1,28.73,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-20 11:15:00,l1,30.11,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-20 14:30:00,l1,29.15,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-21 10:00:00,l1,39.99,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-22 09:30:00,l1,30.48,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-22 17:00:00,l1,28.44,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-08-23 15:15:00,l1,28.28,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-03 10:30:00,l1,30.54,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-04 12:00:00,l1,27.96,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-04 14:15:00,l1,29.46,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-05 16:00:00,l1,31.69,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-08 08:15:00,l1,28.64,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-08 09:15:00,l1,28.36,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-09 11:00:00,l1,30.2,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-11 16:30:00,l1,27.9,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-12 09:15:00,l1,27.99,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-13 13:45:00,l1,28.22,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-26 08:15:00,l1,34.41,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-29 08:00:00,l1,30.06,27.5652,0.0
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,2025-09-30 08:00:00,l1,29.01,27.5652,0.0
be5100d0d75949da80362e1ad1c5104c,ÇORUM,Merkez,2025-08-02 17:45:00,l1,29.13,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-02 09:45:00,l1,28.99,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-02 10:00:00,l1,28.93,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-02 10:30:00,l1,31.92,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-02 11:00:00,l1,29.35,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-02 18:15:00,l1,31.59,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-02 18:30:00,l1,31.63,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-02 18:45:00,l1,39.13,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-02 19:15:00,l1,34.77,27.5652,0.0
