tesisat_no_id,il,ilce,marka,model,abone_grubu,faz_sifir_kayit,toplam_kayit,faz_sifir_oran_pct
652f641a61924c678b037a0d0c30643f,SAMSUN,Bafra,MAKEL,C500.KMY.2251,Tek Terimli Ticarethane AG,5858,5858,100.0
fb1d5de9caa746e2924848543671304c,AMASYA,Merkez,LUNA,LUN23.5010,Tek Terimli Ticarethane AG,5851,5855,99.93
a25e6e8c19b14740808305465b1de6c0,SAMSUN,Bafra,LUNA,LUN23.5010,Çift Terimli Ticarethane OG,5850,5850,100.0
4260d3390eb54089868310e7daefbaf3,SAMSUN,Vezırköprü,MAKEL,C500.KMY.2251,Çift Terimli Ticarethane OG,5842,5866,99.59
d846f29522a14ddbbc3212abaf4e0e5c,AMASYA,Merzifon,LUNA,LUN23.5010,Çift Terimli Ticarethane OG,5834,5834,100.0
d7a38b85cd1c4238a10bd6182d8978b1,SAMSUN,Havza,MAKEL,C500.KMY.2251,Tek Terimli Aydınlatma AG,5819,5830,99.81
4b5feabf87844fe18db4fef95a839b36,AMASYA,Hamamözü,MAKEL,C500.KMY.2251,Çift Terimli Ticarethane OG,5797,5846,99.16
208e38ba076e428c9e5c9d9c0bd53f3f,ORDU,Gölköy,MAKEL,C500.KMY.2251,Tek Terimli Ticarethane OG,5788,5788,100.0
6e7e822f0a324708aa68e052f8125d6a,AMASYA,Merzifon,LUNA,LUN23.5010,Tek Terimli Ticarethane OG,5755,5755,100.0
d3540cb9b2bf4f8ebdee2198c139dfcc,SAMSUN,Terme,LUNA,LUN23.5010,Tek Terimli Ticarethane AG,5697,5856,97.28
68dc189fe1794fa58ce445d8f1ec5ed1,SAMSUN,Kavak,LUNA,LUN23.5010,Tek Terimli Ticarethane AG,5485,5846,93.82
21d7911f836e4182a3a3013139c1204a,SAMSUN,İlkadım,LUNA,LUN23.5010,Tek Terimli Ticarethane AG,5338,5858,91.12
a23c33edc72545d38ef155de54d3588a,AMASYA,Taşova,MAKEL,C500.KMY.2251,Tek Terimli Ticarethane OG,4338,5838,74.31
