tesisat_no_id,il,ilce,abone_grubu,ort_reaktif_oran,ort_tuketim,kayit_sayisi
b4f5c124eae64882a39d56433599fddf,SİNOP,Ayancık,Tek Terimli Ticarethane AG,4395484.3005,0.0269,4977
be5100d0d75949da80362e1ad1c5104c,ÇORUM,Merkez,Tek Terimli Ticarethane OG,1966868.3248,0.1055,5858
d7a38b85cd1c4238a10bd6182d8978b1,SAMSUN,Havza,Tek Terimli Aydınlatma AG,1477397.2927,0.9898,5830
343b9f8bd5034fc9b00d82a69a1d973c,ÇORUM,İskilip,Tek Terimli Tarımsal Sulama OG,1428384.4512,0.0391,413
2689353f48c14a4f8abc9705bed4edf2,ORDU,Fatsa,Tek Terimli Mesken OG,1227932.5076,1.6079,5870
23bfc4eed9164a13a7883f5309ced5a2,ÇORUM,Osmancık,Tek Terimli Ticarethane OG,1188147.0,0.0,5502
e36af92c8cfe462386424de52aba8876,ÇORUM,Merkez,Tek Terimli Ticarethane OG,826938.886,0.001,3785
ac117356b3f34b6ebfefed30ca5b000d,ÇORUM,İskilip,Tek Terimli Sanayi OG,795203.8458,0.0246,5860
d3a90e5d4caf4660ab96f35f0ee3f2a5,ÇORUM,Osmancık,Tek Terimli Tarımsal Sulama AG,562807.9149,2.6254,3278
0a6bce9bc9a945c0acbd8c048cb1e0a0,ÇORUM,İskilip,Tek Terimli Sanayi OG,552773.2229,0.0179,5865
48e385a3937042548a91f819b3cf1f53,ÇORUM,Merkez,Tek Terimli Ticarethane OG,545436.4143,0.3229,5821
8427aeeb82794ea598d7e93621c89dcb,ÇORUM,Osmancık,Tek Terimli Ticarethane OG,536477.4237,0.0022,5830
ec3bf4d07e81456785aa0ca9f991d78f,ÇORUM,Boğazkale,Tek Terimli Ticarethane OG,492349.3295,0.3284,3791
848fe5a594c4427faad1717b86293823,ÇORUM,Osmancık,Tek Terimli Ticarethane OG,407928.626,0.0098,5840
f23a6df4b80243fca50713827d4c7410,ÇORUM,Osmancık,Tek Terimli Tarımsal Sulama OG,392328.1292,0.187,5855
ffb60d5220ef419e98cd7de604094af9,ÇORUM,Alaca,Çift Terimli Sanayi OG,313237.754,0.0452,5864
1898b9cc81dc4429a76c66eb0a6ea6cb,ÇORUM,Osmancık,Tek Terimli Sanayi OG,288890.332,0.1359,5859
fddc974a8ced46c88c811504bcbc4d1d,ÇORUM,Sungurlu,Tek Terimli Ticarethane OG,258185.9407,0.0165,5855
ee15fd39bb30453f965db35c8cb90542,ÇORUM,İskilip,Tek Terimli Ticarethane OG,240392.8693,0.0039,5771
f08f84b0929a4374955f38c1b0c2226e,ÇORUM,Osmancık,Tek Terimli Ticarethane OG,223767.0358,0.0074,5856
a28b8fbc8f3c4100a9f9505cfb3210d5,ÇORUM,Merkez,Tek Terimli Mesken OG,209534.5117,2.8408,5864
1191285bf78d4901ac2bc3ef47139832,ÇORUM,Osmancık,Tek Terimli Sanayi OG,184360.625,0.0435,5859
958d2276369444518475a6925435e57c,ÇORUM,Alaca,Çift Terimli Sanayi OG,147127.0429,0.0718,5859
a6d27c3a132a4d43831628c17c9ddcf1,ÇORUM,İskilip,Tek Terimli Ticarethane OG,113291.7373,0.0318,5861
7759c15600df4ca2b1eb4b61d6dd9b0b,SİNOP,Merkez,Tek Terimli Ticarethane AG,107284.2447,0.7711,5834
6a05c38207284c2d9356ec379dec0b8a,SAMSUN,Havza,Tek Terimli Mesken AG,98926.5947,0.3007,3812
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,Tek Terimli Tarımsal Sulama OG,96629.8738,2.0008,5840
dbfad8ca481441f296cd1ca7c70016a5,ÇORUM,Merkez,Tek Terimli Ticarethane OG,80337.6062,0.0007,5897
43b616f28e684e14a5bfde6b94638b63,ÇORUM,Osmancık,Tek Terimli Tarımsal Sulama OG,70151.9447,0.3275,5877
bb91d4662c1947b7b1ab73decdc2478a,ÇORUM,İskilip,Çift Terimli Ticarethane OG,70013.422,0.1821,5865
