tesisat_no_id,il,ilce,abone_grubu,sabit_tuketim_kayit,ort_tuketim,ort_risk
dbfad8ca481441f296cd1ca7c70016a5,ÇORUM,Merkez,Tek Terimli Ticarethane OG,5895,0.0007,2.93
c06c9d39664c44cf9c7701116f232d29,ÇORUM,Osmancık,Tek Terimli Ticarethane OG,5883,0.4389,8.31
43b616f28e684e14a5bfde6b94638b63,ÇORUM,Osmancık,Tek Terimli Tarımsal Sulama OG,5875,0.3276,6.55
b2efcb5df4674abeb3bdf34292c1a0fa,ÇORUM,Alaca,Tek Terimli Ticarethane OG,5874,0.0042,1.88
5147ff0e1d974c54bee4952b1d72921f,ÇORUM,Alaca,Tek Terimli Ticarethane OG,5869,0.0123,1.46
0a6bce9bc9a945c0acbd8c048cb1e0a0,ÇORUM,İskilip,Tek Terimli Sanayi OG,5863,0.0179,12.52
bb91d4662c1947b7b1ab73decdc2478a,ÇORUM,İskilip,Çift Terimli Ticarethane OG,5863,0.1822,5.06
4260d3390eb54089868310e7daefbaf3,SAMSUN,Vezırköprü,Çift Terimli Ticarethane OG,5862,0.9685,52.02
ffb60d5220ef419e98cd7de604094af9,ÇORUM,Alaca,Çift Terimli Sanayi OG,5862,0.0452,10.75
a6d27c3a132a4d43831628c17c9ddcf1,ÇORUM,İskilip,Tek Terimli Ticarethane OG,5859,0.0318,3.46
1d44073ce0ee4c1db06185c236b09c79,ÇORUM,Merkez,Tek Terimli Sanayi OG,5858,0.0169,2.36
ac117356b3f34b6ebfefed30ca5b000d,ÇORUM,İskilip,Tek Terimli Sanayi OG,5858,0.0246,16.24
1191285bf78d4901ac2bc3ef47139832,ÇORUM,Osmancık,Tek Terimli Sanayi OG,5857,0.0435,4.72
1898b9cc81dc4429a76c66eb0a6ea6cb,ÇORUM,Osmancık,Tek Terimli Sanayi OG,5857,0.136,9.18
958d2276369444518475a6925435e57c,ÇORUM,Alaca,Çift Terimli Sanayi OG,5857,0.0718,8.52
500197dd711a499bbf411e3ca0a77d9b,ÇORUM,Merkez,Tek Terimli Ticarethane OG,5856,0.1211,3.36
652f641a61924c678b037a0d0c30643f,SAMSUN,Bafra,Tek Terimli Ticarethane AG,5855,0.6246,45.71
